Unique ID,Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination Airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination Airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
1,AA,24,4355,ABE,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,Y,0,CR9 CR7 CRJ
2,AA,24,4355,ABE,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
3,AA,24,3718,ABI,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ERD ER4 CRJ
4,AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M83 M80
5,AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,Y,0,CR7 CRJ
6,AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,E75
7,AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,Y,0,CRJ CR9
8,AA,24,532,ABZ,Aberdeen Dyce Airport,Aberdeen,United Kingdom,57.20190048,-2.197779894,0,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,321 320 319
9,AA,24,248,ACC,Kotoka International Airport,Accra,Ghana,5.6051898,-0.166786,0,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,744
10,AA,24,3700,ACT,Waco Regional Airport,Waco,United States,31.61129951,-97.23049927,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4 ERD
11,AA,24,3341,ADL,Adelaide International Airport,Adelaide,Australia,-34.945,138.531006,9.5,3320,BNE,Brisbane International Airport,Brisbane,Australia,-27.38419914,153.1170044,10,Y,0,737
12,AA,24,3341,ADL,Adelaide International Airport,Adelaide,Australia,-34.945,138.531006,9.5,3361,SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609833,151.177002,10,Y,0,737
13,AA,24,3852,AEX,Alexandria International Airport,Alexandria,United States,31.32740021,-92.54979706,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4 CRJ ERD
14,AA,24,1230,AGP,MÃ¡laga Airport,Malaga,Spain,36.67490005,-4.499110222,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,320
15,AA,24,3658,AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989975,-81.96450043,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,DH8 CRJ
16,AA,24,3658,AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989975,-81.96450043,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,CRJ
17,AA,24,1785,AGU,JesÃºs TerÃ¡n Paredo International Airport,Aguascalientes,Mexico,21.705601,-102.318001,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4
18,AA,24,2006,AKL,Auckland International Airport,Auckland,New Zealand,-37.0080986,174.7920074,12,3320,BNE,Brisbane International Airport,Brisbane,Australia,-27.38419914,153.1170044,10,Y,0,737
19,AA,24,2006,AKL,Auckland International Airport,Auckland,New Zealand,-37.0080986,174.7920074,12,4075,PPT,Faa'a International Airport,Papeete,French Polynesia,-17.553699,-149.606995,-10,Y,0,340
20,AA,24,2006,AKL,Auckland International Airport,Auckland,New Zealand,-37.0080986,174.7920074,12,3361,SYD,Sydney Kingsford Smith International Airport,Sydney,Australia,-33.94609833,151.177002,10,Y,0,737
21,AA,24,3864,ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319
22,AA,24,3864,ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,E75 CRJ E70
23,AA,24,3864,ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
24,AA,24,5718,ALO,Waterloo Regional Airport,Waterloo,United States,42.55709839,-92.40029907,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ERD
25,AA,24,3840,AMA,Rick Husband Amarillo International Airport,Amarillo,United States,35.219398,-101.706001,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4 CRJ ERD
26,AA,24,2170,AMM,Queen Alia International Airport,Amman,Jordan,31.72260094,35.99319839,2,3797,JFK,John F Kennedy International Airport,New York,United States,40.63980103,-73.77890015,-5,Y,0,340 330
27,AA,24,2170,AMM,Queen Alia International Airport,Amman,Jordan,31.72260094,35.99319839,2,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,340
28,AA,24,2170,AMM,Queen Alia International Airport,Amman,Jordan,31.72260094,35.99319839,2,146,YUL,Montreal / Pierre Elliott Trudeau International Airport,Montreal,Canada,45.47060013,-73.74079895,-5,Y,0,330
29,AA,24,580,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,1,507,LHR,London Heathrow Airport,London,United Kingdom,51.4706,-0.461941,0,Y,0,320 767 321 319
30,AA,24,580,AMS,Amsterdam Airport Schiphol,Amsterdam,Netherlands,52.308601,4.76389,1,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,757
31,AA,24,3774,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,-9,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,Y,0,737
32,AA,24,3774,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,-9,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319 320
33,AA,24,2874,ANU,V.C. Bird International Airport,Antigua,Antigua and Barbuda,17.1367,-61.792702,-4,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319
