Airline,Airline ID,Source Airport ID,Source Airport,Source Airport Name,Source Airport City,Source Airport Country,Source Airport Latitude,Source Airport Longitude,Source Airport Timezone,Destination airport ID,Destination Airport,Destination Airport Name,Destination Airport City,Destination airport Country,Destination Airport Latitude,Destination Airport Longitude,Destination Airport Timezone,Codeshare,Stops,Equipment
AA,24,4355,ABE,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,Y,0,CR9 CR7 CRJ
AA,24,4355,ABE,Lehigh Valley International Airport,Allentown,United States,40.65209961,-75.44080353,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
AA,24,3718,ABI,Abilene Regional Airport,Abilene,United States,32.41130066,-99.68190002,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ERD ER4 CRJ
AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,,0,M83 M80
AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,Y,0,CR7 CRJ
AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,E75
AA,24,4019,ABQ,Albuquerque International Sunport,Albuquerque,United States,35.040199,-106.609001,-7,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,Y,0,CRJ CR9
AA,24,3700,ACT,Waco Regional Airport,Waco,United States,31.61129951,-97.23049927,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4 ERD
AA,24,3852,AEX,Alexandria International Airport,Alexandria,United States,31.32740021,-92.54979706,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4 CRJ ERD
AA,24,3658,AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989975,-81.96450043,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,DH8 CRJ
AA,24,3658,AGS,Augusta Regional At Bush Field,Bush Field,United States,33.36989975,-81.96450043,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,CRJ
AA,24,3864,ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,,0,319
AA,24,3864,ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,-5,3520,DCA,Ronald Reagan Washington National Airport,Washington,United States,38.8521,-77.037697,-5,Y,0,E75 CRJ E70
AA,24,3864,ALB,Albany International Airport,Albany,United States,42.74829865,-73.80169678,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,,0,DH3
AA,24,5718,ALO,Waterloo Regional Airport,Waterloo,United States,42.55709839,-92.40029907,-6,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ERD
AA,24,3840,AMA,Rick Husband Amarillo International Airport,Amarillo,United States,35.219398,-101.706001,-6,3670,DFW,Dallas Fort Worth International Airport,Dallas-Fort Worth,United States,32.896801,-97.038002,-6,Y,0,ER4 CRJ ERD
AA,24,3774,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,-9,3484,LAX,Los Angeles International Airport,Los Angeles,United States,33.94250107,-118.4079971,-8,Y,0,737
AA,24,3774,ANC,Ted Stevens Anchorage International Airport,Anchorage,United States,61.17440033,-149.9960022,-9,3462,PHX,Phoenix Sky Harbor International Airport,Phoenix,United States,33.43429947,-112.012001,-7,,0,319 320
AA,24,3838,ART,Watertown International Airport,Watertown,United States,43.9919014,-76.021698,-5,3830,ORD,Chicago O'Hare International Airport,Chicago,United States,41.9786,-87.9048,-6,Y,0,ERD
AA,24,3838,ART,Watertown International Airport,Watertown,United States,43.9919014,-76.021698,-5,3752,PHL,Philadelphia International Airport,Philadelphia,United States,39.87189865,-75.2410965,-5,Y,0,CRJ
AA,24,3682,ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,United States,33.6367,-84.428101,-5,3876,CLT,Charlotte Douglas International Airport,Charlotte,United States,35.2140007,-80.94309998,-5,Y,0,319 320 CR9 321
